id,longitude,latitude,median_einkommen_eur,einwohner_pro_km2,anzahl_laeden,stadtteil_label
138,13.398,52.5509,2437,4389,39,Pankow
139,13.3197,52.5032,3963,8338,51,Charlottenburg
140,13.3092,52.5145,3571,7503,54,Charlottenburg
141,13.4212,52.5147,3525,13771,83,Innenstadt
142,13.1831,52.5517,2169,2206,21,Spandau
143,13.1961,52.5509,2741,4249,5,Spandau
144,13.4249,52.4888,2165,7875,18,Neukölln
145,13.4073,52.5187,5020,13911,66,Innenstadt
146,13.3943,52.4941,2841,8199,31,Kreuzberg
147,13.4311,52.5402,3645,8467,57,Prenzlauer Berg
148,13.3968,52.5185,5058,10885,75,Innenstadt
149,13.4326,52.5287,3404,6835,59,Prenzlauer Berg
150,13.3966,52.5149,4140,12523,43,Innenstadt
151,13.5194,52.5505,1817,2663,9,Marzahn
152,13.3956,52.4933,2176,7132,24,Kreuzberg
153,13.5651,52.5599,2281,2964,17,Marzahn
154,13.2942,52.5301,3396,5685,64,Charlottenburg
155,13.3985,52.5637,3028,5773,25,Pankow
156,13.2929,52.5083,3932,8801,62,Charlottenburg
157,13.1726,52.5354,1889,2504,6,Spandau
158,13.35,52.565,2417,12388,75,Ausreißer
159,13.3003,52.5094,3596,6301,61,Charlottenburg
160,13.2261,52.5436,2512,3469,14,Spandau
161,13.3984,52.5636,3166,6678,39,Pankow
162,13.3184,52.5331,4012,6490,62,Charlottenburg
163,13.4211,52.5391,3248,9118,56,Prenzlauer Berg
164,13.4017,52.5627,2906,5994,40,Pankow
165,13.4163,52.5199,4527,9138,68,Innenstadt
166,13.4078,52.5212,4709,9320,81,Innenstadt
167,13.2936,52.5026,3549,5898,56,Charlottenburg
168,13.4349,52.478,1640,5381,30,Neukölln
169,13.4321,52.4816,2271,5548,23,Neukölln
170,13.3007,52.5323,3441,7128,30,Charlottenburg
171,13.4026,52.5191,4367,12625,63,Innenstadt
172,13.3956,52.4991,2620,8219,41,Kreuzberg
173,13.5227,52.5299,2512,4298,5,Marzahn
174,13.4091,52.5242,4545,12225,84,Innenstadt
175,13.4283,52.4816,1618,7288,17,Neukölln
176,13.5771,52.5257,1556,4474,8,Marzahn
177,13.4529,52.4872,1847,8663,33,Neukölln
178,13.4104,52.5217,3908,9923,87,Innenstadt
179,13.3864,52.4928,2846,6147,45,Kreuzberg
180,13.4044,52.5195,4930,12245,69,Innenstadt
181,13.3985,52.4937,2547,8499,45,Kreuzberg
182,13.4217,52.5364,3075,9658,58,Prenzlauer Berg
183,13.2801,52.5179,3448,6438,68,Charlottenburg
184,13.4057,52.5737,3537,5193,37,Pankow
185,13.5572,52.5354,2015,5370,7,Marzahn
186,13.3061,52.515,4541,8815,54,Charlottenburg
187,13.428,52.5465,3907,9829,42,Prenzlauer Berg
188,13.4314,52.5391,3118,7243,25,Prenzlauer Berg
189,13.4231,52.4808,1983,7656,38,Neukölln
190,13.4062,52.5735,2777,5102,19,Pankow
191,13.3067,52.5169,4809,8274,61,Charlottenburg
192,13.3986,52.5826,2839,7834,25,Pankow
193,13.4443,52.5329,3050,7037,55,Prenzlauer Berg
194,13.4047,52.548,4021,6634,48,Prenzlauer Berg
195,13.4181,52.5391,3195,6087,49,Prenzlauer Berg
196,13.185,52.5262,1601,4613,21,Spandau
197,13.5899,52.5287,1636,2679,9,Marzahn
198,13.3926,52.5046,3077,7872,36,Kreuzberg
199,13.324,52.5183,4263,5397,36,Charlottenburg
200,13.3824,52.4948,3162,6749,26,Kreuzberg
201,13.4373,52.4819,1470,6165,34,Neukölln
202,13.4067,52.5149,3954,9759,60,Innenstadt
203,13.4277,52.5481,3965,9759,38,Prenzlauer Berg
204,13.3785,52.4968,3136,8479,20,Kreuzberg
205,13.297,52.5118,3793,8220,55,Charlottenburg
206,13.4086,52.4903,2609,7671,32,Kreuzberg
207,13.3873,52.5002,2146,6432,48,Kreuzberg
208,13.4066,52.5208,3528,10812,84,Innenstadt
209,13.3081,52.5227,4816,7852,69,Charlottenburg
210,13.2197,52.5441,2625,3875,22,Spandau
211,13.4476,52.4794,2204,7690,19,Neukölln
212,13.1953,52.5622,2274,3839,22,Spandau
213,13.4484,52.5403,3680,9723,34,Prenzlauer Berg
214,13.1587,52.5451,2072,4442,12,Spandau
215,13.5188,52.5064,1955,5249,11,Marzahn
216,13.229,52.5239,2771,4432,22,Spandau
217,13.4063,52.5258,4310,8321,75,Innenstadt
218,13.4114,52.4934,2077,6610,46,Kreuzberg
219,13.4438,52.4881,2086,7316,42,Neukölln
220,13.1953,52.511,2015,2014,24,Spandau
221,13.278,52.5319,4431,7458,30,Charlottenburg
222,13.4471,52.481,1473,5381,39,Neukölln
223,13.4105,52.5224,5053,11500,75,Innenstadt
224,13.53,52.49,1766,12582,27,Ausreißer
225,13.21,52.498,3530,6092,51,Ausreißer
226,13.4062,52.4875,2197,6353,41,Kreuzberg
227,13.4329,52.5342,4188,7292,60,Prenzlauer Berg
228,13.2867,52.5091,4217,8592,45,Charlottenburg
229,13.4142,52.4957,2790,8000,53,Kreuzberg
230,13.5607,52.5585,1894,3673,13,Marzahn
231,13.4093,52.5127,4060,8937,40,Innenstadt
232,13.3916,52.507,1976,6746,45,Kreuzberg
233,13.4031,52.5185,4459,8796,69,Innenstadt
234,13.4047,52.5723,3046,4977,34,Pankow
235,13.4109,52.4994,3010,6765,47,Kreuzberg
236,13.4109,52.501,1942,7450,26,Kreuzberg
237,13.4068,52.4985,2200,5842,40,Kreuzberg
238,13.4306,52.5329,3946,9361,47,Prenzlauer Berg
239,13.4266,52.5372,3537,9440,51,Prenzlauer Berg
240,13.3099,52.5221,3580,6739,68,Charlottenburg
241,13.3754,52.5697,3559,7933,36,Pankow
242,13.3033,52.5143,4160,6859,62,Charlottenburg
243,13.4424,52.4814,1975,6127,42,Neukölln
244,13.3898,52.5173,5363,12847,87,Innenstadt
245,13.4136,52.4993,2983,8007,42,Kreuzberg
246,13.4112,52.5336,2824,7182,53,Prenzlauer Berg
247,13.5307,52.5489,2342,2900,21,Marzahn
248,13.3903,52.5678,2718,5206,29,Pankow
249,13.2108,52.5553,2383,3591,15,Spandau
250,13.2883,52.5246,4104,7930,46,Charlottenburg
251,13.3797,52.5735,3187,4496,33,Pankow
252,13.4216,52.5428,2913,8589,30,Prenzlauer Berg
253,13.2002,52.5268,2088,4003,17,Spandau
254,13.3983,52.5221,4191,13906,42,Innenstadt
255,13.4097,52.5124,4828,9069,40,Innenstadt
256,13.4486,52.4874,2157,7266,20,Neukölln
257,13.4227,52.5379,3570,9185,35,Prenzlauer Berg
258,13.3865,52.4869,2823,7506,25,Kreuzberg
259,13.3941,52.5596,2714,5369,34,Pankow
260,13.3994,52.5702,2425,5335,22,Pankow
261,13.4019,52.5725,2752,4828,25,Pankow
262,13.1854,52.5345,2204,4472,10,Spandau
263,13.4342,52.5331,3676,9015,40,Prenzlauer Berg
264,13.4492,52.472,1432,6965,36,Neukölln
265,13.3873,52.4931,2630,5757,43,Kreuzberg
266,13.4102,52.517,5127,9696,90,Innenstadt
267,13.5452,52.5382,2263,3914,19,Marzahn
268,13.3921,52.4989,2185,8653,49,Kreuzberg
269,13.3992,52.4907,2770,6420,46,Kreuzberg
270,13.4064,52.4946,2422,7323,28,Kreuzberg
271,13.3778,52.517,4596,10336,51,Innenstadt
272,13.59,52.51,5430,12436,57,Ausreißer
273,13.4031,52.5701,3513,4799,33,Pankow
274,13.4051,52.5664,3075,5514,27,Pankow
275,13.2018,52.5306,2191,2670,18,Spandau
276,13.4029,52.5235,5048,11078,45,Innenstadt
277,13.4237,52.4835,2407,8714,37,Neukölln
278,13.4135,52.5172,4509,8546,78,Innenstadt
279,13.4405,52.5396,3659,8606,47,Prenzlauer Berg
280,13.4049,52.5046,2094,5052,28,Kreuzberg
281,13.4453,52.5397,3928,8876,32,Prenzlauer Berg
282,13.3856,52.5146,4123,8235,87,Innenstadt
283,13.4038,52.4932,1888,5271,39,Kreuzberg
284,13.4121,52.5327,4055,6990,57,Prenzlauer Berg
285,13.4179,52.5378,4007,6758,53,Prenzlauer Berg
286,13.4199,52.5206,5061,10959,85,Innenstadt
287,13.4183,52.5195,3867,8104,83,Innenstadt
288,13.295,52.5202,3929,6948,68,Charlottenburg
289,13.1431,52.5418,1797,2313,21,Spandau
290,13.4034,52.4991,2585,6843,40,Kreuzberg
291,13.5386,52.5416,2039,4526,17,Marzahn
292,13.5803,52.545,2007,3461,14,Marzahn
293,13.3202,52.511,3746,5083,60,Charlottenburg
294,13.4281,52.4713,1862,7558,38,Neukölln
295,13.4062,52.4985,2229,6422,24,Kreuzberg
296,13.1932,52.5338,2691,4516,18,Spandau
297,13.3977,52.5618,2835,5901,30,Pankow
298,13.4312,52.5286,3126,7117,33,Prenzlauer Berg
299,13.4366,52.4968,2969,8008,52,Kreuzberg
300,13.4159,52.5199,3795,8875,51,Innenstadt
301,13.305,52.5123,4614,8757,45,Charlottenburg
302,13.3853,52.5671,2881,6938,28,Pankow
303,13.4166,52.5387,2935,7441,51,Prenzlauer Berg
304,13.4362,52.5389,3857,8922,33,Prenzlauer Berg
305,13.47,52.47,1761,731,92,Ausreißer
306,13.4076,52.5654,3586,4775,28,Pankow
307,13.3984,52.5158,3558,10377,56,Innenstadt
308,13.48,52.557,3578,14883,60,Ausreißer
309,13.2159,52.5138,2175,3476,18,Spandau
310,13.4043,52.5213,4638,13385,80,Innenstadt
311,13.3997,52.5268,5275,9212,47,Innenstadt
312,13.5235,52.5349,2482,4359,13,Marzahn
313,13.3976,52.5086,3118,6158,40,Kreuzberg
314,13.4015,52.5317,5096,11296,58,Innenstadt
315,13.4348,52.5421,4057,6763,52,Prenzlauer Berg
316,13.2835,52.5089,4328,5313,32,Charlottenburg
317,13.5969,52.5271,2142,4905,19,Marzahn
318,13.4367,52.4852,2396,6240,34,Neukölln
319,13.5578,52.541,1995,4284,22,Marzahn
320,13.4189,52.4972,2765,5080,48,Kreuzberg
321,13.3819,52.5711,3054,7641,30,Pankow
322,13.4106,52.5206,5422,13293,62,Innenstadt
323,13.4025,52.5271,4836,10951,90,Innenstadt
324,13.4218,52.4858,1858,6992,23,Neukölln
325,13.4464,52.5282,3855,8475,31,Prenzlauer Berg
326,13.4203,52.5017,2115,7650,43,Kreuzberg
327,13.4611,52.4904,2140,8865,15,Neukölln
328,13.3958,52.5145,5432,8570,45,Innenstadt
